Title,ID,Date,Class,Category,Author,ISBN,Publisher,Pub_Date,Order_Time,Count,Cart,Cart_Date,Device,Address1,Address2,user_purchase_count,book_sell_count
엄마를 부탁해,1241,20141207,주문,국내문학,<신경숙> 저,9788936433673,창비,20081024.0,13,1,N,,기기PID_PC,대구광역시,동구,1,72
수상한 그녀,1266,20140404,주문,국내문학,"<이상민> 저/<신동익>,<홍윤정>,<동희선>,<황동혁> 각본,각색",9788968970061,가연,20140121.0,20,1,N,,그 외,경상북도,영주시,1,1
사랑하다가 죽어버려라,1356,20140405,주문,국내문학,<정호승> 저,9788936421618,창비,19990930.0,19,1,N,,그 외,경기도,용인시 수지구,1,2
김소월 시집,1439,20140117,주문,국내문학,<김소월> 저/<이순영> 그림,9788963650470,종합출판범우,20110325.0,16,1,N,,그 외,전라남도,나주시,1,8
안 된다고 하지 말고 아니라고 하지 말고,1442,20140714,주문,국내문학,<임윤택> 저,9788965743460,해냄,20120715.0,0,1,N,,기기PID_PC,경상북도,성주군,3,4
서울 시 2,1442,20140704,주문,국내문학,<하상욱> 저,9788927804727,중앙북스(books),20130902.0,17,1,Y,20140628.0,모바일웹,경상북도,성주군,3,67
서울 시 2,1442,20140704,주문,국내문학,<하상욱> 저,9788927804727,중앙북스(books),20130902.0,17,1,Y,20140628.0,모바일웹,경상북도,성주군,3,67
시크릿 가든 2,1494,20140820,주문,국내문학,<김은숙> 극본/<강이을> 저,9788994015347,뮤진트리,20110131.0,17,1,N,,안드로이드커머스앱,인천광역시,부평구,3,2
시크릿 가든 1,1494,20140820,주문,국내문학,<김은숙> 극본/<강이을> 저,9788994015330,뮤진트리,20101223.0,17,1,N,,안드로이드커머스앱,인천광역시,부평구,3,2
노블레스 1,1494,20140210,주문,국내문학,<손제호> 저,,드림북스,20110916.0,23,1,N,,그 외,인천광역시,부평구,3,6
백석 평전,1500,20140801,주문,국내문학,<안도현> 저,9791130602769,다산책방,20140609.0,12,1,N,,기기PID_PC,서울특별시,노원구,1,62
1cm+,1524,20140303,주문,국내문학,<김은주> 저/<양현정> 그림,9788968330124,허밍버드,20130718.0,21,1,N,,그 외,대구광역시,달서구,2,260
달팽이 안에 달,1524,20140303,주문,국내문학,<김은주> 저,9788925545615,알에이치코리아(RHK),20120102.0,21,1,N,,그 외,대구광역시,달서구,2,27
1cm 일센티 첫 번째 이야기,1533,20140519,주문,국내문학,<김은주> 저/<김재연> 그림,9788968330216,허밍버드,20140303.0,23,1,N,,모바일웹,인천광역시,서구,1,184
제비뽑기,1580,20141110,주문,국내문학,<박태주> 저,9788995549223,야베스,20060201.0,16,1,N,,기기PID_PC,서울특별시,관악구,12,1
동시 교실,1580,20141110,주문,국내문학,<박목월> 저,9788992362610,서정시학,20090615.0,16,1,N,,기기PID_PC,서울특별시,관악구,12,1
정령왕 엘퀴네스 개정판 4,1617,20140415,주문,국내문학,<이환> 저,9788954244855,드림북스,20130814.0,22,1,N,,그 외,경상남도,진주시,4,14
나는 죽을 때까지 재미있게 살고 싶다,1617,20141022,주문,국내문학,<이근후> 저,9788901154091,갤리온,20130201.0,0,1,N,,기기PID_PC,경상남도,진주시,4,219
정령왕 엘퀴네스 개정판 5 한정판,1617,20140415,주문,국내문학,<이환> 저,9791131300060,드림북스,20140410.0,22,2,N,,그 외,경상남도,진주시,4,11
왕은 웃었다 5,1617,20141022,주문,국내문학,<류재빈> 저,9788926774113,파피루스(디앤씨미디어),20141020.0,0,2,N,,기기PID_PC,경상남도,진주시,4,5
서울 시,1630,20141026,주문,국내문학,<하상욱> 저,9788927804093,중앙북스(books),20130123.0,19,1,N,,기기PID_PC,경기도,의정부시,1,109
학마을 사람들/꺼삐딴 리/오발탄/탈향/판문점 외,1637,20140813,주문,국내문학,"<전광용>,<이범선>,<이호철> 등저",9788936462277,창비,20050707.0,15,1,N,,안드로이드커머스앱,서울특별시,성동구,2,11
